t,node_id,sku,on_hand,backlog_external,backlog_children,pipeline_in
0,Supplier,SKU_A,0,0,0,0
0,Supplier,SKU_B,0,0,0,0
0,Supplier,SKU_C,0,0,0,0
0,Supplier,SKU_D,0,0,0,0
0,Supplier,SKU_E,0,0,0,0
0,W1,SKU_A,1736,0,0,0
0,W1,SKU_B,942,0,0,0
0,W1,SKU_C,1093,0,0,0
0,W1,SKU_D,825,0,0,0
0,W1,SKU_E,749,0,0,0
0,W2,SKU_A,1849,0,0,0
0,W2,SKU_B,639,0,0,0
0,W2,SKU_C,1067,0,0,0
0,W2,SKU_D,1046,0,0,0
0,W2,SKU_E,648,0,0,0
0,R1,SKU_A,453,0,0,0
0,R1,SKU_B,252,0,0,0
0,R1,SKU_C,315,0,0,0
0,R1,SKU_D,229,0,0,0
0,R1,SKU_E,164,0,0,0
0,R2,SKU_A,370,0,0,0
0,R2,SKU_B,242,0,0,0
0,R2,SKU_C,224,0,0,0
0,R2,SKU_D,172,0,0,0
0,R2,SKU_E,225,0,0,0
0,R3,SKU_A,1138,0,0,0
0,R3,SKU_B,414,0,0,0
0,R3,SKU_C,645,0,0,0
0,R3,SKU_D,669,0,0,0
0,R3,SKU_E,391,0,0,0
1,Supplier,SKU_A,0,0,0,0
1,Supplier,SKU_B,0,0,0,0
1,Supplier,SKU_C,0,0,0,0
1,Supplier,SKU_D,0,0,0,0
1,Supplier,SKU_E,0,0,0,0
1,W1,SKU_A,225,0,0,1892
1,W1,SKU_B,0,0,1,883
1,W1,SKU_C,215,0,0,1269
1,W1,SKU_D,255,0,0,976
1,W1,SKU_E,0,0,102,300
1,W2,SKU_A,35,0,0,3280
1,W2,SKU_B,0,0,11,0
1,W2,SKU_C,33,0,0,598
1,W2,SKU_D,292,0,0,2063
1,W2,SKU_E,0,0,131,1294
1,R1,SKU_A,359,0,0,645
1,R1,SKU_B,224,0,0,372
1,R1,SKU_C,249,0,0,503
1,R1,SKU_D,199,0,0,311
1,R1,SKU_E,137,0,0,449
1,R2,SKU_A,258,0,0,866
1,R2,SKU_B,191,0,0,570
1,R2,SKU_C,167,0,0,375
1,R2,SKU_D,132,0,0,259
1,R2,SKU_E,187,0,0,300
1,R3,SKU_A,969,0,0,1814
1,R3,SKU_B,375,0,0,639
1,R3,SKU_C,537,0,0,1034
1,R3,SKU_D,596,0,0,754
1,R3,SKU_E,333,0,0,648
2,Supplier,SKU_A,0,0,0,0
2,Supplier,SKU_B,0,0,0,0
2,Supplier,SKU_C,0,0,0,0
2,Supplier,SKU_D,0,0,0,0
2,Supplier,SKU_E,0,0,0,0
2,W1,SKU_A,131,0,0,1892
2,W1,SKU_B,0,0,1,883
2,W1,SKU_C,215,0,0,1269
2,W1,SKU_D,255,0,0,976
2,W1,SKU_E,0,0,102,300
2,W2,SKU_A,35,0,0,3280
2,W2,SKU_B,0,0,11,0
2,W2,SKU_C,33,0,0,598
2,W2,SKU_D,292,0,0,2063
2,W2,SKU_E,0,0,131,1294
2,R1,SKU_A,273,0,0,645
2,R1,SKU_B,199,0,0,372
2,R1,SKU_C,191,0,0,503
2,R1,SKU_D,167,0,0,311
2,R1,SKU_E,95,0,0,449
2,R2,SKU_A,175,0,0,866
2,R2,SKU_B,148,0,0,570
2,R2,SKU_C,115,0,0,375
2,R2,SKU_D,101,0,0,259
2,R2,SKU_E,159,0,0,300
2,R3,SKU_A,773,0,0,1814
2,R3,SKU_B,337,0,0,639
2,R3,SKU_C,471,0,0,1034
2,R3,SKU_D,538,0,0,754
2,R3,SKU_E,267,0,0,648
3,Supplier,SKU_A,0,0,0,0
3,Supplier,SKU_B,0,0,0,0
3,Supplier,SKU_C,0,0,0,0
3,Supplier,SKU_D,0,0,0,0
3,Supplier,SKU_E,0,0,0,0
3,W1,SKU_A,45,0,0,1892
3,W1,SKU_B,0,0,1,883
3,W1,SKU_C,215,0,0,1269
3,W1,SKU_D,255,0,0,976
3,W1,SKU_E,0,0,102,300
3,W2,SKU_A,35,0,0,3280
3,W2,SKU_B,0,0,11,0
3,W2,SKU_C,33,0,0,598
3,W2,SKU_D,292,0,0,2063
3,W2,SKU_E,0,0,131,1294
3,R1,SKU_A,830,0,0,0
3,R1,SKU_B,542,0,0,0
3,R1,SKU_C,630,0,0,0
3,R1,SKU_D,441,0,0,0
3,R1,SKU_E,510,0,0,0
3,R2,SKU_A,85,0,0,866
3,R2,SKU_B,93,0,0,570
3,R2,SKU_C,73,0,0,375
3,R2,SKU_D,64,0,0,259
3,R2,SKU_E,137,0,0,300
3,R3,SKU_A,627,0,0,1814
3,R3,SKU_B,293,0,0,639
3,R3,SKU_C,381,0,0,1034
3,R3,SKU_D,476,0,0,754
3,R3,SKU_E,218,0,0,648
4,Supplier,SKU_A,0,0,0,0
4,Supplier,SKU_B,0,0,0,0
4,Supplier,SKU_C,0,0,0,0
4,Supplier,SKU_D,0,0,0,0
4,Supplier,SKU_E,0,0,0,0
4,W1,SKU_A,0,0,43,1892
4,W1,SKU_B,0,0,1,883
4,W1,SKU_C,215,0,0,1269
4,W1,SKU_D,48,0,0,976
4,W1,SKU_E,0,0,102,300
4,W2,SKU_A,35,0,0,3280
4,W2,SKU_B,0,0,11,0
4,W2,SKU_C,33,0,0,598
4,W2,SKU_D,292,0,0,2063
4,W2,SKU_E,0,0,131,1294
4,R1,SKU_A,743,0,0,225
4,R1,SKU_B,501,0,0,0
4,R1,SKU_C,549,0,0,0
4,R1,SKU_D,400,0,0,99
4,R1,SKU_E,466,0,0,0
4,R2,SKU_A,850,0,0,0
4,R2,SKU_B,600,0,0,0
4,R2,SKU_C,392,0,0,0
4,R2,SKU_D,280,0,0,0
4,R2,SKU_E,413,0,0,0
4,R3,SKU_A,446,0,0,1814
4,R3,SKU_B,227,0,0,639
4,R3,SKU_C,266,0,0,1034
4,R3,SKU_D,397,0,0,754
4,R3,SKU_E,154,0,0,648
5,Supplier,SKU_A,0,0,0,0
5,Supplier,SKU_B,0,0,0,0
5,Supplier,SKU_C,0,0,0,0
5,Supplier,SKU_D,0,0,0,0
5,Supplier,SKU_E,0,0,0,0
5,W1,SKU_A,0,0,130,1892
5,W1,SKU_B,0,0,1,883
5,W1,SKU_C,215,0,0,1269
5,W1,SKU_D,48,0,0,976
5,W1,SKU_E,0,0,102,300
5,W2,SKU_A,35,0,0,5094
5,W2,SKU_B,0,0,11,0
5,W2,SKU_C,33,0,0,598
5,W2,SKU_D,292,0,0,2063
5,W2,SKU_E,0,0,368,2073
5,R1,SKU_A,615,0,0,225
5,R1,SKU_B,424,0,0,0
5,R1,SKU_C,441,0,0,0
5,R1,SKU_D,353,0,0,99
5,R1,SKU_E,407,0,0,0
5,R2,SKU_A,742,0,0,0
5,R2,SKU_B,530,0,0,0
5,R2,SKU_C,303,0,0,0
5,R2,SKU_D,225,0,0,0
5,R2,SKU_E,358,0,0,0
5,R3,SKU_A,2014,0,0,0
5,R3,SKU_B,800,0,0,0
5,R3,SKU_C,1137,0,0,0
5,R3,SKU_D,1050,0,0,0
5,R3,SKU_E,725,0,0,0
6,Supplier,SKU_A,0,0,0,0
6,Supplier,SKU_B,0,0,0,0
6,Supplier,SKU_C,0,0,0,0
6,Supplier,SKU_D,0,0,0,0
6,Supplier,SKU_E,0,0,0,0
6,W1,SKU_A,1634,0,0,0
6,W1,SKU_B,882,0,0,0
6,W1,SKU_C,1107,0,0,0
6,W1,SKU_D,1024,0,0,570
6,W1,SKU_E,198,0,0,0
6,W2,SKU_A,35,0,0,5094
6,W2,SKU_B,0,0,11,0
6,W2,SKU_C,33,0,0,598
6,W2,SKU_D,292,0,0,2063
6,W2,SKU_E,0,0,368,2073
6,R1,SKU_A,674,0,0,0
6,R1,SKU_B,344,0,0,0
6,R1,SKU_C,326,0,0,0
6,R1,SKU_D,388,0,0,0
6,R1,SKU_E,340,0,0,0
6,R2,SKU_A,623,0,0,0
6,R2,SKU_B,456,0,0,1
6,R2,SKU_C,199,0,0,0
6,R2,SKU_D,177,0,0,108
6,R2,SKU_E,291,0,0,102
6,R3,SKU_A,1758,0,0,0
6,R3,SKU_B,741,0,0,0
6,R3,SKU_C,988,0,0,0
6,R3,SKU_D,947,0,0,0
6,R3,SKU_E,598,0,0,0
7,Supplier,SKU_A,0,0,0,0
7,Supplier,SKU_B,0,0,0,0
7,Supplier,SKU_C,0,0,0,0
7,Supplier,SKU_D,0,0,0,0
7,Supplier,SKU_E,0,0,0,0
7,W1,SKU_A,1468,0,0,0
7,W1,SKU_B,882,0,0,0
7,W1,SKU_C,1107,0,0,0
7,W1,SKU_D,726,0,0,570
7,W1,SKU_E,198,0,0,0
7,W2,SKU_A,3315,0,0,1814
7,W2,SKU_B,0,0,11,0
7,W2,SKU_C,631,0,0,0
7,W2,SKU_D,1879,0,0,0
7,W2,SKU_E,926,0,0,779
7,R1,SKU_A,538,0,0,0
7,R1,SKU_B,266,0,0,0
7,R1,SKU_C,204,0,0,0
7,R1,SKU_D,325,0,0,0
7,R1,SKU_E,280,0,0,0
7,R2,SKU_A,498,0,0,0
7,R2,SKU_B,390,0,0,1
7,R2,SKU_C,118,0,0,0
7,R2,SKU_D,136,0,0,108
7,R2,SKU_E,236,0,0,102
7,R3,SKU_A,1518,0,0,0
7,R3,SKU_B,645,0,0,0
7,R3,SKU_C,846,0,0,0
7,R3,SKU_D,842,0,0,0
7,R3,SKU_E,501,0,0,0
8,Supplier,SKU_A,0,0,0,0
8,Supplier,SKU_B,0,0,0,0
8,Supplier,SKU_C,0,0,0,0
8,Supplier,SKU_D,0,0,0,0
8,Supplier,SKU_E,0,0,0,0
8,W1,SKU_A,1332,0,0,0
8,W1,SKU_B,882,0,0,0
8,W1,SKU_C,626,0,0,0
8,W1,SKU_D,726,0,0,570
8,W1,SKU_E,0,0,91,0
