node_id,sku,demand_sum,fulfilled_sum,fill_rate
R1,SKU_A,51394,51152,0.9952912791376425
R1,SKU_B,23800,14234,0.5980672268907563
R1,SKU_C,37760,21896,0.5798728813559322
R1,SKU_D,22301,22243,0.9973992197659298
R1,SKU_E,15853,13048,0.8230618810319813
R2,SKU_A,34230,24874,0.7266725094945954
R2,SKU_B,19561,16122,0.8241909922805583
R2,SKU_C,18587,13173,0.7087211491902943
R2,SKU_D,16542,16484,0.9964937734252206
R2,SKU_E,16529,15723,0.9512372194325126
R3,SKU_A,66596,61466,0.922968346447234
R3,SKU_B,21533,17132,0.7956160312079135
R3,SKU_C,41348,27958,0.6761632968946503
R3,SKU_D,33476,33476,1.0
R3,SKU_E,28210,28210,1.0
