t,node_id,sku,orders_to_parent
0,Supplier,SKU_A,0
0,Supplier,SKU_B,0
0,Supplier,SKU_C,0
0,Supplier,SKU_D,0
0,Supplier,SKU_E,0
0,W1,SKU_A,1892
0,W1,SKU_B,883
0,W1,SKU_C,1269
0,W1,SKU_D,976
0,W1,SKU_E,300
0,W2,SKU_A,3280
0,W2,SKU_B,0
0,W2,SKU_C,598
0,W2,SKU_D,2063
0,W2,SKU_E,1294
0,R1,SKU_A,645
0,R1,SKU_B,372
0,R1,SKU_C,503
0,R1,SKU_D,311
0,R1,SKU_E,449
0,R2,SKU_A,866
0,R2,SKU_B,571
0,R2,SKU_C,375
0,R2,SKU_D,259
0,R2,SKU_E,402
0,R3,SKU_A,1814
0,R3,SKU_B,650
0,R3,SKU_C,1034
0,R3,SKU_D,754
0,R3,SKU_E,779
1,Supplier,SKU_A,0
1,Supplier,SKU_B,0
1,Supplier,SKU_C,0
1,Supplier,SKU_D,0
1,Supplier,SKU_E,0
1,W1,SKU_A,0
1,W1,SKU_B,0
1,W1,SKU_C,0
1,W1,SKU_D,0
1,W1,SKU_E,0
1,W2,SKU_A,0
1,W2,SKU_B,0
1,W2,SKU_C,0
1,W2,SKU_D,0
1,W2,SKU_E,0
1,R1,SKU_A,94
1,R1,SKU_B,0
1,R1,SKU_C,0
1,R1,SKU_D,0
1,R1,SKU_E,0
1,R2,SKU_A,0
1,R2,SKU_B,0
1,R2,SKU_C,0
1,R2,SKU_D,0
1,R2,SKU_E,0
1,R3,SKU_A,0
1,R3,SKU_B,0
1,R3,SKU_C,0
1,R3,SKU_D,0
1,R3,SKU_E,0
2,Supplier,SKU_A,0
2,Supplier,SKU_B,0
2,Supplier,SKU_C,0
2,Supplier,SKU_D,0
2,Supplier,SKU_E,0
2,W1,SKU_A,0
2,W1,SKU_B,0
2,W1,SKU_C,0
2,W1,SKU_D,0
2,W1,SKU_E,0
2,W2,SKU_A,0
2,W2,SKU_B,0
2,W2,SKU_C,0
2,W2,SKU_D,0
2,W2,SKU_E,779
2,R1,SKU_A,86
2,R1,SKU_B,0
2,R1,SKU_C,0
2,R1,SKU_D,0
2,R1,SKU_E,0
2,R2,SKU_A,0
2,R2,SKU_B,0
2,R2,SKU_C,0
2,R2,SKU_D,0
2,R2,SKU_E,0
2,R3,SKU_A,0
2,R3,SKU_B,0
2,R3,SKU_C,0
2,R3,SKU_D,0
2,R3,SKU_E,0
3,Supplier,SKU_A,0
3,Supplier,SKU_B,0
3,Supplier,SKU_C,0
3,Supplier,SKU_D,0
3,Supplier,SKU_E,0
3,W1,SKU_A,0
3,W1,SKU_B,0
3,W1,SKU_C,0
3,W1,SKU_D,570
3,W1,SKU_E,0
3,W2,SKU_A,0
3,W2,SKU_B,0
3,W2,SKU_C,0
3,W2,SKU_D,0
3,W2,SKU_E,0
3,R1,SKU_A,88
3,R1,SKU_B,0
3,R1,SKU_C,0
3,R1,SKU_D,99
3,R1,SKU_E,0
3,R2,SKU_A,0
3,R2,SKU_B,0
3,R2,SKU_C,0
3,R2,SKU_D,108
3,R2,SKU_E,0
3,R3,SKU_A,0
3,R3,SKU_B,0
3,R3,SKU_C,0
3,R3,SKU_D,0
3,R3,SKU_E,0
4,Supplier,SKU_A,0
4,Supplier,SKU_B,0
4,Supplier,SKU_C,0
4,Supplier,SKU_D,0
4,Supplier,SKU_E,0
4,W1,SKU_A,0
4,W1,SKU_B,0
4,W1,SKU_C,0
4,W1,SKU_D,0
4,W1,SKU_E,0
4,W2,SKU_A,1814
4,W2,SKU_B,0
4,W2,SKU_C,0
4,W2,SKU_D,0
4,W2,SKU_E,0
4,R1,SKU_A,87
4,R1,SKU_B,0
4,R1,SKU_C,0
4,R1,SKU_D,0
4,R1,SKU_E,0
4,R2,SKU_A,0
4,R2,SKU_B,0
4,R2,SKU_C,0
4,R2,SKU_D,0
4,R2,SKU_E,0
4,R3,SKU_A,0
4,R3,SKU_B,0
4,R3,SKU_C,0
4,R3,SKU_D,0
4,R3,SKU_E,237
5,Supplier,SKU_A,0
5,Supplier,SKU_B,0
5,Supplier,SKU_C,0
5,Supplier,SKU_D,0
5,Supplier,SKU_E,0
5,W1,SKU_A,0
5,W1,SKU_B,0
5,W1,SKU_C,0
5,W1,SKU_D,0
5,W1,SKU_E,0
5,W2,SKU_A,0
5,W2,SKU_B,0
5,W2,SKU_C,0
5,W2,SKU_D,0
5,W2,SKU_E,0
5,R1,SKU_A,128
5,R1,SKU_B,0
5,R1,SKU_C,377
5,R1,SKU_D,0
5,R1,SKU_E,0
5,R2,SKU_A,0
5,R2,SKU_B,0
5,R2,SKU_C,0
5,R2,SKU_D,0
5,R2,SKU_E,0
5,R3,SKU_A,0
5,R3,SKU_B,0
5,R3,SKU_C,0
5,R3,SKU_D,0
5,R3,SKU_E,0
6,Supplier,SKU_A,0
6,Supplier,SKU_B,0
6,Supplier,SKU_C,0
6,Supplier,SKU_D,0
6,Supplier,SKU_E,0
6,W1,SKU_A,0
6,W1,SKU_B,0
6,W1,SKU_C,0
6,W1,SKU_D,207
6,W1,SKU_E,0
6,W2,SKU_A,0
6,W2,SKU_B,0
6,W2,SKU_C,0
6,W2,SKU_D,0
6,W2,SKU_E,237
6,R1,SKU_A,166
6,R1,SKU_B,0
6,R1,SKU_C,0
6,R1,SKU_D,152
6,R1,SKU_E,0
6,R2,SKU_A,0
6,R2,SKU_B,0
6,R2,SKU_C,0
6,R2,SKU_D,146
6,R2,SKU_E,0
6,R3,SKU_A,0
6,R3,SKU_B,0
6,R3,SKU_C,0
6,R3,SKU_D,476
6,R3,SKU_E,0
7,Supplier,SKU_A,0
7,Supplier,SKU_B,0
7,Supplier,SKU_C,0
7,Supplier,SKU_D,0
7,Supplier,SKU_E,0
7,W1,SKU_A,0
7,W1,SKU_B,0
7,W1,SKU_C,0
7,W1,SKU_D,0
7,W1,SKU_E,0
7,W2,SKU_A,0
7,W2,SKU_B,0
7,W2,SKU_C,1034
7,W2,SKU_D,1230
7,W2,SKU_E,0
7,R1,SKU_A,136
7,R1,SKU_B,0
7,R1,SKU_C,0
7,R1,SKU_D,0
7,R1,SKU_E,0
7,R2,SKU_A,0
7,R2,SKU_B,0
7,R2,SKU_C,481
7,R2,SKU_D,0
7,R2,SKU_E,289
7,R3,SKU_A,0
7,R3,SKU_B,0
7,R3,SKU_C,0
7,R3,SKU_D,0
7,R3,SKU_E,0
8,Supplier,SKU_A,0
8,Supplier,SKU_B,0
8,Supplier,SKU_C,0
8,Supplier,SKU_D,0
8,Supplier,SKU_E,0
8,W1,SKU_A,0
8,W1,SKU_B,0
8,W1,SKU_C,0
8,W1,SKU_D,0
8,W1,SKU_E,0
8,W2,SKU_A,0
8,W2,SKU_B,0
8,W2,SKU_C,0
8,W2,SKU_D,0
8,W2,SKU_E,0
8,R1,SKU_A,98
8,R1,SKU_B,0
8,R1,SKU_C,0
8,R1,SKU_D,0
8,R1,SKU_E,0
8,R2,SKU_A,0
8,R2,SKU_B,0
8,R2,SKU_C,0
8,R2,SKU_D,0
8,R2,SKU_E,0
8,R3,SKU_A,0
8,R3,SKU_B,473
8,R3,SKU_C,0
8,R3,SKU_D,0
8,R3,SKU_E,373
9,Supplier,SKU_A,0
9,Supplier,SKU_B,0
9,Supplier,SKU_C,0
9,Supplier,SKU_D,0
9,Supplier,SKU_E,0
9,W1,SKU_A,2394
9,W1,SKU_B,0
9,W1,SKU_C,0
9,W1,SKU_D,298
9,W1,SKU_E,1140
9,W2,SKU_A,0
9,W2,SKU_B,1067
9,W2,SKU_C,0
9,W2,SKU_D,0
9,W2,SKU_E,0
9,R1,SKU_A,95
9,R1,SKU_B,440
9,R1,SKU_C,0
9,R1,SKU_D,132
9,R1,SKU_E,0
9,R2,SKU_A,0
9,R2,SKU_B,0
9,R2,SKU_C,0
9,R2,SKU_D,123
9,R2,SKU_E,0
9,R3,SKU_A,0
9,R3,SKU_B,0
9,R3,SKU_C,0
9,R3,SKU_D,0
9,R3,SKU_E,0
10,Supplier,SKU_A,0
10,Supplier,SKU_B,0
10,Supplier,SKU_C,0
10,Supplier,SKU_D,0
10,Supplier,SKU_E,0
10,W1,SKU_A,0
10,W1,SKU_B,0
10,W1,SKU_C,0
10,W1,SKU_D,0
10,W1,SKU_E,0
10,W2,SKU_A,0
10,W2,SKU_B,0
10,W2,SKU_C,0
10,W2,SKU_D,0
10,W2,SKU_E,373
10,R1,SKU_A,111
10,R1,SKU_B,0
10,R1,SKU_C,427
10,R1,SKU_D,0
10,R1,SKU_E,0
10,R2,SKU_A,0
10,R2,SKU_B,560
10,R2,SKU_C,0
10,R2,SKU_D,0
10,R2,SKU_E,0
10,R3,SKU_A,1942
10,R3,SKU_B,0
10,R3,SKU_C,0
10,R3,SKU_D,0
10,R3,SKU_E,0
11,Supplier,SKU_A,0
11,Supplier,SKU_B,0
11,Supplier,SKU_C,0
11,Supplier,SKU_D,0
11,Supplier,SKU_E,0
11,W1,SKU_A,0
11,W1,SKU_B,0
11,W1,SKU_C,0
11,W1,SKU_D,0
11,W1,SKU_E,0
11,W2,SKU_A,0
11,W2,SKU_B,0
11,W2,SKU_C,0
11,W2,SKU_D,0
11,W2,SKU_E,0
11,R1,SKU_A,96
11,R1,SKU_B,0
11,R1,SKU_C,0
11,R1,SKU_D,0
11,R1,SKU_E,0
11,R2,SKU_A,0
11,R2,SKU_B,0
11,R2,SKU_C,0
11,R2,SKU_D,0
11,R2,SKU_E,0
11,R3,SKU_A,0
11,R3,SKU_B,0
11,R3,SKU_C,1232
11,R3,SKU_D,0
11,R3,SKU_E,0
12,Supplier,SKU_A,0
12,Supplier,SKU_B,0
12,Supplier,SKU_C,0
12,Supplier,SKU_D,0
12,Supplier,SKU_E,0
12,W1,SKU_A,0
12,W1,SKU_B,0
12,W1,SKU_C,0
12,W1,SKU_D,255
12,W1,SKU_E,0
12,W2,SKU_A,1942
12,W2,SKU_B,0
12,W2,SKU_C,0
12,W2,SKU_D,0
12,W2,SKU_E,0
12,R1,SKU_A,140
12,R1,SKU_B,0
12,R1,SKU_C,0
12,R1,SKU_D,121
12,R1,SKU_E,547
12,R2,SKU_A,1254
12,R2,SKU_B,0
12,R2,SKU_C,0
12,R2,SKU_D,108
12,R2,SKU_E,0
12,R3,SKU_A,0
12,R3,SKU_B,0
12,R3,SKU_C,0
12,R3,SKU_D,507
12,R3,SKU_E,329
13,Supplier,SKU_A,0
13,Supplier,SKU_B,0
13,Supplier,SKU_C,0
13,Supplier,SKU_D,0
13,Supplier,SKU_E,0
13,W1,SKU_A,0
13,W1,SKU_B,1943
13,W1,SKU_C,0
13,W1,SKU_D,0
13,W1,SKU_E,0
13,W2,SKU_A,0
13,W2,SKU_B,0
13,W2,SKU_C,0
13,W2,SKU_D,0
13,W2,SKU_E,0
13,R1,SKU_A,155
13,R1,SKU_B,0
13,R1,SKU_C,0
13,R1,SKU_D,0
13,R1,SKU_E,0
13,R2,SKU_A,0
13,R2,SKU_B,0
13,R2,SKU_C,0
13,R2,SKU_D,0
13,R2,SKU_E,0
13,R3,SKU_A,0
13,R3,SKU_B,0
13,R3,SKU_C,0
13,R3,SKU_D,0
13,R3,SKU_E,0
14,Supplier,SKU_A,0
14,Supplier,SKU_B,0
14,Supplier,SKU_C,0
14,Supplier,SKU_D,0
14,Supplier,SKU_E,0
14,W1,SKU_A,0
14,W1,SKU_B,0
14,W1,SKU_C,2163
14,W1,SKU_D,0
14,W1,SKU_E,0
14,W2,SKU_A,0
14,W2,SKU_B,0
14,W2,SKU_C,1232
14,W2,SKU_D,507
14,W2,SKU_E,329
14,R1,SKU_A,149
14,R1,SKU_B,0
14,R1,SKU_C,0
14,R1,SKU_D,0
14,R1,SKU_E,0
14,R2,SKU_A,0
14,R2,SKU_B,0
14,R2,SKU_C,369
14,R2,SKU_D,0
14,R2,SKU_E,340
14,R3,SKU_A,0
14,R3,SKU_B,0
14,R3,SKU_C,0
14,R3,SKU_D,0
14,R3,SKU_E,0
15,Supplier,SKU_A,0
15,Supplier,SKU_B,0
15,Supplier,SKU_C,0
15,Supplier,SKU_D,0
15,Supplier,SKU_E,0
15,W1,SKU_A,0
15,W1,SKU_B,0
15,W1,SKU_C,0
15,W1,SKU_D,229
15,W1,SKU_E,0
15,W2,SKU_A,0
15,W2,SKU_B,0
15,W2,SKU_C,0
15,W2,SKU_D,0
15,W2,SKU_E,0
15,R1,SKU_A,141
15,R1,SKU_B,0
15,R1,SKU_C,407
15,R1,SKU_D,189
15,R1,SKU_E,0
15,R2,SKU_A,0
15,R2,SKU_B,0
15,R2,SKU_C,0
15,R2,SKU_D,141
15,R2,SKU_E,0
15,R3,SKU_A,0
15,R3,SKU_B,0
15,R3,SKU_C,0
15,R3,SKU_D,0
15,R3,SKU_E,0
16,Supplier,SKU_A,0
16,Supplier,SKU_B,0
16,Supplier,SKU_C,0
16,Supplier,SKU_D,0
16,Supplier,SKU_E,0
16,W1,SKU_A,0
16,W1,SKU_B,0
16,W1,SKU_C,0
16,W1,SKU_D,0
16,W1,SKU_E,0
16,W2,SKU_A,0
16,W2,SKU_B,0
16,W2,SKU_C,0
16,W2,SKU_D,0
16,W2,SKU_E,0
16,R1,SKU_A,121
16,R1,SKU_B,0
16,R1,SKU_C,0
16,R1,SKU_D,0
16,R1,SKU_E,0
16,R2,SKU_A,0
16,R2,SKU_B,0
16,R2,SKU_C,0
16,R2,SKU_D,0
16,R2,SKU_E,0
16,R3,SKU_A,0
16,R3,SKU_B,563
16,R3,SKU_C,0
16,R3,SKU_D,0
16,R3,SKU_E,330
17,Supplier,SKU_A,0
17,Supplier,SKU_B,0
17,Supplier,SKU_C,0
17,Supplier,SKU_D,0
17,Supplier,SKU_E,0
17,W1,SKU_A,0
17,W1,SKU_B,0
17,W1,SKU_C,0
17,W1,SKU_D,0
17,W1,SKU_E,0
17,W2,SKU_A,0
17,W2,SKU_B,0
17,W2,SKU_C,0
17,W2,SKU_D,0
17,W2,SKU_E,0
17,R1,SKU_A,136
17,R1,SKU_B,0
17,R1,SKU_C,0
17,R1,SKU_D,0
17,R1,SKU_E,0
17,R2,SKU_A,0
17,R2,SKU_B,0
17,R2,SKU_C,0
17,R2,SKU_D,0
17,R2,SKU_E,0
17,R3,SKU_A,0
17,R3,SKU_B,0
17,R3,SKU_C,0
17,R3,SKU_D,0
17,R3,SKU_E,0
18,Supplier,SKU_A,0
18,Supplier,SKU_B,0
18,Supplier,SKU_C,0
18,Supplier,SKU_D,0
18,Supplier,SKU_E,0
18,W1,SKU_A,2398
18,W1,SKU_B,0
18,W1,SKU_C,0
18,W1,SKU_D,330
18,W1,SKU_E,887
18,W2,SKU_A,0
18,W2,SKU_B,563
18,W2,SKU_C,0
18,W2,SKU_D,0
18,W2,SKU_E,330
18,R1,SKU_A,87
18,R1,SKU_B,433
18,R1,SKU_C,0
18,R1,SKU_D,91
18,R1,SKU_E,0
18,R2,SKU_A,0
18,R2,SKU_B,0
18,R2,SKU_C,0
18,R2,SKU_D,115
18,R2,SKU_E,0
18,R3,SKU_A,0
18,R3,SKU_B,0
18,R3,SKU_C,0
18,R3,SKU_D,562
18,R3,SKU_E,0
19,Supplier,SKU_A,0
19,Supplier,SKU_B,0
19,Supplier,SKU_C,0
19,Supplier,SKU_D,0
19,Supplier,SKU_E,0
19,W1,SKU_A,0
19,W1,SKU_B,0
19,W1,SKU_C,0
19,W1,SKU_D,0
19,W1,SKU_E,0
19,W2,SKU_A,0
19,W2,SKU_B,0
19,W2,SKU_C,0
19,W2,SKU_D,0
19,W2,SKU_E,0
19,R1,SKU_A,137
19,R1,SKU_B,0
19,R1,SKU_C,0
19,R1,SKU_D,0
19,R1,SKU_E,0
19,R2,SKU_A,0
19,R2,SKU_B,0
19,R2,SKU_C,0
19,R2,SKU_D,0
19,R2,SKU_E,0
19,R3,SKU_A,0
19,R3,SKU_B,0
19,R3,SKU_C,0
19,R3,SKU_D,0
19,R3,SKU_E,0
20,Supplier,SKU_A,0
20,Supplier,SKU_B,0
20,Supplier,SKU_C,0
20,Supplier,SKU_D,0
20,Supplier,SKU_E,0
20,W1,SKU_A,0
20,W1,SKU_B,0
20,W1,SKU_C,0
20,W1,SKU_D,0
20,W1,SKU_E,0
20,W2,SKU_A,0
20,W2,SKU_B,0
20,W2,SKU_C,0
20,W2,SKU_D,0
20,W2,SKU_E,0
20,R1,SKU_A,166
20,R1,SKU_B,0
20,R1,SKU_C,366
20,R1,SKU_D,0
20,R1,SKU_E,0
20,R2,SKU_A,0
20,R2,SKU_B,547
20,R2,SKU_C,0
20,R2,SKU_D,0
20,R2,SKU_E,0
20,R3,SKU_A,2184
20,R3,SKU_B,0
20,R3,SKU_C,0
20,R3,SKU_D,0
20,R3,SKU_E,308
21,Supplier,SKU_A,0
21,Supplier,SKU_B,0
21,Supplier,SKU_C,0
21,Supplier,SKU_D,0
21,Supplier,SKU_E,0
21,W1,SKU_A,0
21,W1,SKU_B,0
21,W1,SKU_C,0
21,W1,SKU_D,206
21,W1,SKU_E,0
21,W2,SKU_A,0
21,W2,SKU_B,0
21,W2,SKU_C,0
21,W2,SKU_D,562
21,W2,SKU_E,0
21,R1,SKU_A,149
21,R1,SKU_B,0
21,R1,SKU_C,0
21,R1,SKU_D,194
21,R1,SKU_E,0
21,R2,SKU_A,0
21,R2,SKU_B,0
21,R2,SKU_C,305
21,R2,SKU_D,152
21,R2,SKU_E,296
21,R3,SKU_A,0
21,R3,SKU_B,0
21,R3,SKU_C,0
21,R3,SKU_D,0
21,R3,SKU_E,0
22,Supplier,SKU_A,0
22,Supplier,SKU_B,0
22,Supplier,SKU_C,0
22,Supplier,SKU_D,0
22,Supplier,SKU_E,0
22,W1,SKU_A,0
22,W1,SKU_B,0
22,W1,SKU_C,0
22,W1,SKU_D,0
22,W1,SKU_E,0
22,W2,SKU_A,0
22,W2,SKU_B,0
22,W2,SKU_C,0
22,W2,SKU_D,0
22,W2,SKU_E,308
22,R1,SKU_A,122
22,R1,SKU_B,0
22,R1,SKU_C,0
22,R1,SKU_D,0
22,R1,SKU_E,0
22,R2,SKU_A,0
22,R2,SKU_B,0
22,R2,SKU_C,0
22,R2,SKU_D,0
22,R2,SKU_E,0
22,R3,SKU_A,0
22,R3,SKU_B,0
22,R3,SKU_C,1427
22,R3,SKU_D,0
22,R3,SKU_E,0
23,Supplier,SKU_A,0
23,Supplier,SKU_B,0
23,Supplier,SKU_C,0
23,Supplier,SKU_D,0
23,Supplier,SKU_E,0
23,W1,SKU_A,0
23,W1,SKU_B,0
23,W1,SKU_C,0
23,W1,SKU_D,0
23,W1,SKU_E,0
23,W2,SKU_A,0
23,W2,SKU_B,0
23,W2,SKU_C,0
23,W2,SKU_D,0
23,W2,SKU_E,0
23,R1,SKU_A,105
23,R1,SKU_B,0
23,R1,SKU_C,0
23,R1,SKU_D,0
23,R1,SKU_E,0
23,R2,SKU_A,0
23,R2,SKU_B,0
23,R2,SKU_C,0
23,R2,SKU_D,0
23,R2,SKU_E,0
