t_ship,parent,child,sku,lead_time,qty
1,Supplier,W1,SKU_A,5,1892
1,Supplier,W1,SKU_B,5,883
1,Supplier,W1,SKU_C,5,1269
1,Supplier,W1,SKU_D,5,976
1,Supplier,W1,SKU_E,5,300
1,Supplier,W2,SKU_A,6,3280
1,Supplier,W2,SKU_C,6,598
1,Supplier,W2,SKU_D,6,2063
1,Supplier,W2,SKU_E,6,1294
1,W1,R1,SKU_A,2,645
1,W1,R1,SKU_B,2,372
1,W1,R1,SKU_C,2,503
1,W1,R1,SKU_D,2,311
1,W1,R1,SKU_E,2,449
1,W1,R2,SKU_A,3,866
1,W1,R2,SKU_B,3,570
1,W1,R2,SKU_C,3,375
1,W1,R2,SKU_D,3,259
1,W1,R2,SKU_E,3,300
1,W2,R3,SKU_A,4,1814
1,W2,R3,SKU_B,4,639
1,W2,R3,SKU_C,4,1034
1,W2,R3,SKU_D,4,754
1,W2,R3,SKU_E,4,648
4,W1,R1,SKU_A,2,225
4,W1,R1,SKU_D,2,99
5,Supplier,W2,SKU_E,6,779
5,Supplier,W2,SKU_A,6,1814
6,Supplier,W1,SKU_D,5,570
6,W1,R2,SKU_D,3,108
6,W1,R2,SKU_B,3,1
6,W1,R2,SKU_E,3,102
8,W1,R1,SKU_A,2,560
8,W1,R1,SKU_C,2,377
8,W1,R1,SKU_D,2,152
8,W1,R2,SKU_D,3,146
8,W1,R2,SKU_C,3,481
8,W1,R2,SKU_E,3,198
9,Supplier,W1,SKU_D,5,207
9,Supplier,W2,SKU_E,6,237
9,Supplier,W2,SKU_C,6,1034
9,Supplier,W2,SKU_D,6,1230
9,W2,R3,SKU_D,4,476
9,W2,R3,SKU_E,4,741
10,Supplier,W1,SKU_A,5,2394
10,Supplier,W1,SKU_D,5,298
10,Supplier,W1,SKU_E,5,1140
11,W1,R1,SKU_A,2,304
11,W1,R1,SKU_B,2,440
11,W1,R1,SKU_D,2,132
11,W1,R1,SKU_C,2,427
11,W1,R2,SKU_D,3,123
11,W1,R2,SKU_B,3,442
12,Supplier,W2,SKU_B,6,1067
12,Supplier,W2,SKU_E,6,373
13,W1,R2,SKU_A,3,792
13,W1,R2,SKU_D,3,108
13,W2,R3,SKU_A,4,1942
13,W2,R3,SKU_C,4,631
13,W2,R3,SKU_D,4,507
13,W2,R3,SKU_E,4,329
14,Supplier,W1,SKU_D,5,255
