t,node_id,sku,on_hand,backlog_external,backlog_children,pipeline_in
0,Supplier,SKU_A,0,0,0,0
0,Supplier,SKU_B,0,0,0,0
0,Supplier,SKU_C,0,0,0,0
0,Supplier,SKU_D,0,0,0,0
0,Supplier,SKU_E,0,0,0,0
0,W1,SKU_A,1736,0,0,0
0,W1,SKU_B,942,0,0,0
0,W1,SKU_C,1093,0,0,0
0,W1,SKU_D,825,0,0,0
0,W1,SKU_E,749,0,0,0
0,W2,SKU_A,1849,0,0,0
0,W2,SKU_B,639,0,0,0
0,W2,SKU_C,1067,0,0,0
0,W2,SKU_D,1046,0,0,0
0,W2,SKU_E,648,0,0,0
0,R1,SKU_A,453,0,0,0
0,R1,SKU_B,252,0,0,0
0,R1,SKU_C,315,0,0,0
0,R1,SKU_D,229,0,0,0
0,R1,SKU_E,164,0,0,0
0,R2,SKU_A,370,0,0,0
0,R2,SKU_B,242,0,0,0
0,R2,SKU_C,224,0,0,0
0,R2,SKU_D,172,0,0,0
0,R2,SKU_E,225,0,0,0
0,R3,SKU_A,1138,0,0,0
0,R3,SKU_B,414,0,0,0
0,R3,SKU_C,645,0,0,0
0,R3,SKU_D,669,0,0,0
0,R3,SKU_E,391,0,0,0
1,Supplier,SKU_A,0,0,0,0
1,Supplier,SKU_B,0,0,0,0
1,Supplier,SKU_C,0,0,0,0
1,Supplier,SKU_D,0,0,0,0
1,Supplier,SKU_E,0,0,0,0
1,W1,SKU_A,0,0,496,2125
1,W1,SKU_B,541,0,0,221
1,W1,SKU_C,0,0,71,2033
1,W1,SKU_D,20,0,0,0
1,W1,SKU_E,68,0,0,857
1,W2,SKU_A,0,0,772,1322
1,W2,SKU_B,413,0,0,0
1,W2,SKU_C,0,0,552,0
1,W2,SKU_D,0,0,433,0
1,W2,SKU_E,648,0,0,966
1,R1,SKU_A,359,0,0,1263
1,R1,SKU_B,224,0,0,401
1,R1,SKU_C,249,0,0,575
1,R1,SKU_D,199,0,0,530
1,R1,SKU_E,137,0,0,306
1,R2,SKU_A,258,0,0,0
1,R2,SKU_B,191,0,0,0
1,R2,SKU_C,167,0,0,0
1,R2,SKU_D,132,0,0,0
1,R2,SKU_E,187,0,0,0
1,R3,SKU_A,969,0,0,1849
1,R3,SKU_B,375,0,0,226
1,R3,SKU_C,537,0,0,1067
1,R3,SKU_D,596,0,0,1046
1,R3,SKU_E,333,0,0,0
2,Supplier,SKU_A,0,0,0,0
2,Supplier,SKU_B,0,0,0,0
2,Supplier,SKU_C,0,0,0,0
2,Supplier,SKU_D,0,0,0,0
2,Supplier,SKU_E,0,0,0,0
2,W1,SKU_A,0,0,496,4357
2,W1,SKU_B,541,0,0,622
2,W1,SKU_C,0,0,71,3197
2,W1,SKU_D,20,0,0,2101
2,W1,SKU_E,68,0,0,1538
2,W2,SKU_A,0,0,772,3943
2,W2,SKU_B,413,0,0,0
2,W2,SKU_C,0,0,552,3409
2,W2,SKU_D,0,0,433,1269
2,W2,SKU_E,0,0,53,966
2,R1,SKU_A,273,0,0,1263
2,R1,SKU_B,199,0,0,401
2,R1,SKU_C,191,0,0,575
2,R1,SKU_D,167,0,0,530
2,R1,SKU_E,95,0,0,306
2,R2,SKU_A,175,0,0,0
2,R2,SKU_B,148,0,0,0
2,R2,SKU_C,115,0,0,0
2,R2,SKU_D,101,0,0,0
2,R2,SKU_E,159,0,0,0
2,R3,SKU_A,773,0,0,1849
2,R3,SKU_B,337,0,0,226
2,R3,SKU_C,471,0,0,1067
2,R3,SKU_D,538,0,0,1046
2,R3,SKU_E,267,0,0,0
3,Supplier,SKU_A,0,0,0,0
3,Supplier,SKU_B,0,0,0,0
3,Supplier,SKU_C,0,0,0,0
3,Supplier,SKU_D,0,0,0,0
3,Supplier,SKU_E,0,0,0,0
3,W1,SKU_A,0,0,496,4357
3,W1,SKU_B,541,0,0,622
3,W1,SKU_C,0,0,71,3197
3,W1,SKU_D,20,0,0,2101
3,W1,SKU_E,68,0,0,1538
3,W2,SKU_A,0,0,772,3943
3,W2,SKU_B,413,0,0,0
3,W2,SKU_C,0,0,552,3409
3,W2,SKU_D,0,0,433,1269
3,W2,SKU_E,0,0,53,1667
3,R1,SKU_A,1448,0,0,0
3,R1,SKU_B,571,0,0,0
3,R1,SKU_C,702,0,0,0
3,R1,SKU_D,660,0,0,0
3,R1,SKU_E,367,0,0,0
3,R2,SKU_A,85,0,0,473
3,R2,SKU_B,93,0,0,0
3,R2,SKU_C,73,0,0,518
3,R2,SKU_D,64,0,0,275
3,R2,SKU_E,137,0,0,375
3,R3,SKU_A,627,0,0,1849
3,R3,SKU_B,293,0,0,226
3,R3,SKU_C,381,0,0,1067
3,R3,SKU_D,476,0,0,1046
3,R3,SKU_E,218,0,0,0
4,Supplier,SKU_A,0,0,0,0
4,Supplier,SKU_B,0,0,0,0
4,Supplier,SKU_C,0,0,0,0
4,Supplier,SKU_D,0,0,0,0
4,Supplier,SKU_E,0,0,0,0
4,W1,SKU_A,0,0,496,4357
4,W1,SKU_B,309,0,0,622
4,W1,SKU_C,0,0,71,3197
4,W1,SKU_D,20,0,0,2101
4,W1,SKU_E,0,0,35,1538
4,W2,SKU_A,0,0,772,3943
4,W2,SKU_B,292,0,0,0
4,W2,SKU_C,0,0,552,3409
4,W2,SKU_D,0,0,433,1269
4,W2,SKU_E,0,0,53,1667
4,R1,SKU_A,1361,0,0,0
4,R1,SKU_B,530,0,0,0
4,R1,SKU_C,621,0,0,0
4,R1,SKU_D,619,0,0,0
4,R1,SKU_E,323,0,0,0
4,R2,SKU_A,0,16,0,473
4,R2,SKU_B,30,0,0,0
4,R2,SKU_C,17,0,0,518
4,R2,SKU_D,21,0,0,275
4,R2,SKU_E,113,0,0,375
4,R3,SKU_A,446,0,0,1849
4,R3,SKU_B,227,0,0,347
4,R3,SKU_C,266,0,0,1067
4,R3,SKU_D,397,0,0,1046
4,R3,SKU_E,154,0,0,648
5,Supplier,SKU_A,0,0,0,0
5,Supplier,SKU_B,0,0,0,0
5,Supplier,SKU_C,0,0,0,0
5,Supplier,SKU_D,0,0,0,0
5,Supplier,SKU_E,0,0,0,0
5,W1,SKU_A,0,0,496,4357
5,W1,SKU_B,186,0,0,622
5,W1,SKU_C,0,0,71,3197
5,W1,SKU_D,20,0,0,2101
5,W1,SKU_E,0,0,35,1538
5,W2,SKU_A,0,0,772,3943
5,W2,SKU_B,292,0,0,774
5,W2,SKU_C,0,0,931,3409
5,W2,SKU_D,0,0,433,1269
5,W2,SKU_E,0,0,53,1667
5,R1,SKU_A,1233,0,0,0
5,R1,SKU_B,453,0,0,0
5,R1,SKU_C,513,0,0,0
5,R1,SKU_D,572,0,0,0
5,R1,SKU_E,264,0,0,0
5,R2,SKU_A,0,124,0,473
5,R2,SKU_B,0,40,0,0
5,R2,SKU_C,0,72,0,518
5,R2,SKU_D,0,34,0,275
5,R2,SKU_E,58,0,0,375
5,R3,SKU_A,2049,0,0,0
5,R3,SKU_B,387,0,0,121
5,R3,SKU_C,1170,0,0,0
5,R3,SKU_D,1342,0,0,0
5,R3,SKU_E,77,0,0,648
6,Supplier,SKU_A,0,0,0,0
6,Supplier,SKU_B,0,0,0,0
6,Supplier,SKU_C,0,0,0,0
6,Supplier,SKU_D,0,0,0,0
6,Supplier,SKU_E,0,0,0,0
6,W1,SKU_A,1135,0,0,2232
6,W1,SKU_B,407,0,0,401
6,W1,SKU_C,1962,0,0,1164
6,W1,SKU_D,0,0,186,2101
6,W1,SKU_E,552,0,0,681
6,W2,SKU_A,0,0,1710,3943
6,W2,SKU_B,160,0,0,774
6,W2,SKU_C,0,0,931,3409
6,W2,SKU_D,0,0,433,1269
6,W2,SKU_E,0,0,53,1667
6,R1,SKU_A,1067,0,0,0
6,R1,SKU_B,373,0,0,123
6,R1,SKU_C,398,0,0,0
6,R1,SKU_D,508,0,0,0
6,R1,SKU_E,197,0,0,206
6,R2,SKU_A,230,0,0,990
6,R2,SKU_B,0,114,0,232
6,R2,SKU_C,342,0,0,71
6,R2,SKU_D,193,0,0,20
6,R2,SKU_E,366,0,0,167
6,R3,SKU_A,1793,0,0,0
6,R3,SKU_B,328,0,0,121
6,R3,SKU_C,1021,0,0,0
6,R3,SKU_D,1239,0,0,0
6,R3,SKU_E,0,50,0,648
7,Supplier,SKU_A,0,0,0,0
7,Supplier,SKU_B,0,0,0,0
7,Supplier,SKU_C,0,0,0,0
7,Supplier,SKU_D,0,0,0,0
7,Supplier,SKU_E,0,0,0,0
7,W1,SKU_A,3367,0,0,0
7,W1,SKU_B,444,0,0,232
7,W1,SKU_C,2234,0,0,0
7,W1,SKU_D,1915,0,0,0
7,W1,SKU_E,1233,0,0,0
7,W2,SKU_A,1322,0,1710,2621
7,W2,SKU_B,160,0,0,774
7,W2,SKU_C,0,0,931,3409
7,W2,SKU_D,0,0,433,1269
7,W2,SKU_E,966,0,53,701
7,R1,SKU_A,931,0,0,0
7,R1,SKU_B,295,0,0,123
7,R1,SKU_C,276,0,0,0
7,R1,SKU_D,445,0,0,0
7,R1,SKU_E,137,0,0,206
7,R2,SKU_A,105,0,0,990
7,R2,SKU_B,0,180,0,232
7,R2,SKU_C,261,0,0,71
7,R2,SKU_D,152,0,0,20
7,R2,SKU_E,311,0,0,167
7,R3,SKU_A,1553,0,0,0
7,R3,SKU_B,232,0,0,121
7,R3,SKU_C,879,0,0,0
7,R3,SKU_D,1134,0,0,0
7,R3,SKU_E,0,147,0,648
8,Supplier,SKU_A,0,0,0,0
8,Supplier,SKU_B,0,0,0,0
8,Supplier,SKU_C,0,0,0,0
8,Supplier,SKU_D,0,0,0,0
8,Supplier,SKU_E,0,0,0,0
8,W1,SKU_A,3367,0,0,0
8,W1,SKU_B,444,0,0,232
8,W1,SKU_C,2234,0,0,0
8,W1,SKU_D,1915,0,0,0
