node_id,sku,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
R1,SKU_A,5597.625,0.0,102.788,0.0,5700.4130000000005
R1,SKU_B,3173.6099999999997,16.8,47.6,0.0,3238.0099999999998
R1,SKU_C,3554.874,133.2,75.52,0.0,3763.594
R1,SKU_D,1058.68,428.45000000000005,44.602000000000004,0.0,1531.732
R1,SKU_E,604.1619999999999,310.0,31.706,0.0,945.8679999999999
R2,SKU_A,3086.2250000000004,1335.5,68.46000000000001,0.0,4490.185
R2,SKU_B,2141.37,99.0,39.122,0.0,2279.4919999999997
R2,SKU_C,4446.846,0.0,37.174,0.0,4484.0199999999995
R2,SKU_D,740.488,2261.05,33.084,0.0,3034.6220000000003
R2,SKU_E,3280.5499999999997,0.0,33.058,0.0,3313.6079999999997
R3,SKU_A,6012.200000000001,8.5,133.192,0.0,6153.892000000001
R3,SKU_B,309.18,9386.4,43.066,0.0,9738.645999999999
R3,SKU_C,7632.846,0.0,82.696,0.0,7715.542
R3,SKU_D,4256.196,0.0,66.952,0.0,4323.148
R3,SKU_E,3065.998,0.0,56.42,0.0,3122.4179999999997
Supplier,SKU_A,0.0,0.0,0.0,6824.458574149233,6824.458574149233
Supplier,SKU_B,0.0,0.0,0.0,11158.171757070671,11158.171757070671
Supplier,SKU_C,0.0,0.0,0.0,6538.662838076676,6538.662838076676
Supplier,SKU_D,0.0,0.0,0.0,8153.951320270555,8153.951320270555
Supplier,SKU_E,0.0,0.0,0.0,8209.755510432864,8209.755510432864
W1,SKU_A,0.615,0.0,4692.608,3252.375334568471,7945.598334568471
W1,SKU_B,1547.712,0.0,3609.86,7074.73846475331,12232.310464753311
W1,SKU_C,1280.528,0.0,4079.254,3240.440461820374,8600.222461820375
W1,SKU_D,20.264000000000003,0.0,3621.509,3742.0236393230707,7383.796639323071
W1,SKU_E,850.272,0.0,3200.064,4086.422099534774,8136.758099534774
W2,SKU_A,4184.88,0.0,4540.968,1569.8404714248618,10295.68847142486
W2,SKU_B,2984.562,0.0,3479.33,2013.8747517530753,8477.766751753075
W2,SKU_C,7190.976000000001,0.0,3963.471,1457.4302905419017,12611.877290541903
W2,SKU_D,386.83500000000004,0.0,3574.283,1960.624689071342,5921.742689071342
W2,SKU_E,1209.968,0.0,3175.272,1985.229797208819,6370.469797208819
