t_ship,from_node,to_node,lead_time,qty,arrival_time
1,W1,R2,3,87.0,4
1,W1,R1,2,155.0,3
1,W2,R3,4,274.0,5
2,Supplier,W2,6,274.0,8
2,Supplier,W1,5,242.0,7
2,W1,R2,3,90.0,5
2,W1,R1,2,121.0,4
2,W2,R3,4,268.0,6
3,Supplier,W2,6,268.0,9
3,Supplier,W1,5,211.0,8
3,W1,R2,3,76.0,6
3,W1,R1,2,99.0,5
3,W2,R3,4,153.0,7
4,Supplier,W2,6,153.0,10
4,Supplier,W1,5,175.0,9
4,W1,R2,3,83.0,7
4,W1,R1,2,105.0,6
4,W2,R3,4,188.0,8
5,Supplier,W2,6,188.0,11
5,Supplier,W1,5,188.0,10
5,W1,R2,3,73.0,8
5,W1,R1,2,92.0,7
5,W2,R3,4,154.0,9
6,Supplier,W2,6,154.0,12
6,Supplier,W1,5,165.0,11
6,W1,R2,3,106.0,9
6,W1,R1,2,113.0,8
6,W2,R3,4,211.0,10
7,Supplier,W2,6,211.0,13
7,Supplier,W1,5,219.0,12
7,W1,R2,3,91.0,10
7,W1,R1,2,110.0,9
7,W2,R3,4,204.0,11
8,Supplier,W2,6,204.0,14
8,Supplier,W1,5,201.0,13
8,W1,R2,3,149.0,11
8,W1,R1,2,176.0,10
8,W2,R3,4,299.0,12
9,Supplier,W2,6,299.0,15
9,Supplier,W1,5,325.0,14
9,W1,R2,3,96.0,12
9,W1,R1,2,165.0,11
9,W2,R3,4,276.0,13
10,Supplier,W2,6,276.0,16
10,Supplier,W1,5,261.0,15
10,W1,R2,3,113.0,13
10,W1,R1,2,95.0,12
10,W2,R3,4,224.0,14
11,Supplier,W2,6,224.0,17
11,Supplier,W1,5,208.0,16
11,W1,R2,3,106.0,14
11,W1,R1,2,96.0,13
11,W2,R3,4,184.0,15
12,Supplier,W2,6,184.0,18
12,Supplier,W1,5,202.0,17
12,W1,R2,3,98.0,15
12,W1,R1,2,107.0,14
12,W2,R3,4,186.0,16
13,Supplier,W2,6,186.0,19
13,Supplier,W1,5,205.0,18
13,W1,R2,3,93.0,16
13,W1,R1,2,119.0,15
13,W2,R3,4,157.0,17
14,Supplier,W2,6,157.0,20
14,Supplier,W1,5,212.0,19
14,W1,R2,3,118.0,17
14,W1,R1,2,160.0,16
14,W2,R3,4,251.0,18
15,Supplier,W2,6,251.0,21
15,Supplier,W1,5,278.0,20
15,W1,R2,3,142.0,18
15,W1,R1,2,224.0,17
15,W2,R3,4,347.0,19
16,Supplier,W2,6,347.0,22
16,Supplier,W1,5,366.0,21
16,W1,R2,3,155.0,19
16,W1,R1,2,226.0,18
16,W2,R3,4,332.0,20
17,Supplier,W2,6,332.0,23
17,Supplier,W1,5,381.0,22
17,W1,R2,3,93.0,20
17,W1,R1,2,142.0,19
17,W2,R3,4,217.0,21
18,Supplier,W2,6,217.0,24
18,Supplier,W1,5,235.0,23
18,W1,R2,3,83.0,21
18,W1,R1,2,133.0,20
18,W2,R3,4,246.0,22
