time,node_id,on_hand,backlog_external,backlog_children,pipeline_in
0,Supplier,0.0,0.0,0.0,0.0
0,W1,1736.0,0.0,0.0,0.0
0,W2,1849.0,0.0,0.0,0.0
0,R1,433.0,0.0,0.0,0.0
0,R2,394.0,0.0,0.0,0.0
0,R3,1083.0,0.0,0.0,0.0
1,Supplier,0.0,0.0,0.0,0.0
1,W1,1736.0,0.0,242.0,0.0
1,W2,1849.0,0.0,274.0,0.0
1,R1,312.0,0.0,0.0,0.0
1,R2,304.0,0.0,0.0,0.0
1,R3,815.0,0.0,0.0,0.0
2,Supplier,0.0,0.0,42.0,0.0
2,W1,1736.0,0.0,453.0,200.0
2,W2,1307.0,0.0,0.0,274.0
2,R1,213.0,0.0,0.0,0.0
2,R2,228.0,0.0,0.0,0.0
2,R3,662.0,0.0,0.0,542.0
3,Supplier,0.0,0.0,0.0,0.0
3,W1,1736.0,0.0,628.0,453.0
3,W2,1307.0,0.0,153.0,542.0
3,R1,108.0,0.0,0.0,0.0
3,R2,145.0,0.0,0.0,0.0
3,R3,474.0,0.0,0.0,542.0
4,Supplier,0.0,0.0,0.0,0.0
4,W1,1736.0,0.0,816.0,628.0
4,W2,1307.0,0.0,341.0,695.0
4,R1,16.0,0.0,0.0,0.0
4,R2,72.0,0.0,0.0,0.0
4,R3,320.0,0.0,0.0,542.0
5,Supplier,0.0,0.0,0.0,0.0
5,W1,1164.0,0.0,409.0,816.0
5,W2,1307.0,0.0,495.0,883.0
5,R1,0.0,97.0,0.0,572.0
5,R2,0.0,34.0,0.0,0.0
5,R3,109.0,0.0,0.0,542.0
6,Supplier,0.0,0.0,0.0,0.0
6,W1,649.0,0.0,113.0,981.0
6,W2,601.0,0.0,0.0,1037.0
6,R1,0.0,207.0,0.0,572.0
6,R2,0.0,125.0,0.0,515.0
6,R3,447.0,0.0,0.0,706.0
7,Supplier,0.0,0.0,30.0,0.0
7,W1,849.0,0.0,314.0,981.0
7,W2,601.0,0.0,204.0,1237.0
