t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received
0,Supplier,0,0,0,0,0,0
0,WHA,80,0,0,0,0,0
0,WHB,70,0,0,0,0,0
0,R1,18,0,0,0,0,0
0,R2,19,0,0,0,0,0
0,R3,20,0,0,0,0,0
0,WHA,80,0,0,0,40,0
0,WHB,70,0,0,0,40,0
0,R1,18,0,0,0,17,0
0,R2,19,0,0,0,16,0
0,R3,20,0,0,0,15,0
1,Supplier,0,0,0,0,0,0
1,WHA,80,0,0,0,0,0
1,WHB,70,0,0,0,0,0
1,R1,11,0,0,0,0,0
1,R2,13,0,0,0,0,0
1,R3,15,0,0,0,0,0
1,WHA,47,0,0,40,33,0
1,WHB,55,0,0,40,15,0
1,R1,11,0,0,17,7,0
1,R2,13,0,0,16,6,0
1,R3,15,0,0,15,5,0
2,Supplier,0,0,0,0,0,0
2,WHA,47,0,0,40,0,0
2,WHB,55,0,0,40,0,0
2,R1,21,0,0,0,0,17
2,R2,23,0,0,0,0,16
2,R3,25,0,0,0,0,15
2,WHA,34,0,0,73,13,0
2,WHB,50,0,0,55,5,0
2,R1,21,0,0,7,7,0
2,R2,23,0,0,6,6,0
2,R3,25,0,0,5,5,0
3,Supplier,0,0,0,0,0,0
3,WHA,74,0,0,33,0,40
3,WHB,50,0,0,55,0,0
3,R1,21,0,0,0,0,7
3,R2,23,0,0,0,0,6
3,R3,25,0,0,0,0,5
3,WHA,61,0,0,46,13,0
3,WHB,45,0,0,60,5,0
3,R1,21,0,0,7,7,0
3,R2,23,0,0,6,6,0
3,R3,25,0,0,5,5,0
4,Supplier,0,0,0,0,0,0
4,WHA,94,0,0,13,0,33
4,WHB,85,0,0,20,0,40
4,R1,21,0,0,0,0,7
4,R2,23,0,0,0,0,6
4,R3,25,0,0,0,0,5
4,WHA,81,0,0,26,13,0
4,WHB,80,0,0,25,5,0
4,R1,21,0,0,7,7,0
4,R2,23,0,0,6,6,0
4,R3,25,0,0,5,5,0
5,Supplier,0,0,0,0,0,0
5,WHA,94,0,0,13,0,13
5,WHB,95,0,0,10,0,15
5,R1,21,0,0,0,0,7
5,R2,23,0,0,0,0,6
5,R3,25,0,0,0,0,5
5,WHA,81,0,0,26,13,0
5,WHB,90,0,0,15,5,0
5,R1,21,0,0,7,7,0
5,R2,23,0,0,6,6,0
5,R3,25,0,0,5,5,0
6,Supplier,0,0,0,0,0,0
6,WHA,94,0,0,13,0,13
6,WHB,95,0,0,10,0,5
6,R1,21,0,0,0,0,7
6,R2,23,0,0,0,0,6
6,R3,25,0,0,0,0,5
6,WHA,81,0,0,26,13,0
6,WHB,90,0,0,15,5,0
6,R1,21,0,0,7,7,0
6,R2,23,0,0,6,6,0
6,R3,25,0,0,5,5,0
7,Supplier,0,0,0,0,0,0
7,WHA,94,0,0,13,0,13
7,WHB,95,0,0,10,0,5
7,R1,21,0,0,0,0,7
7,R2,23,0,0,0,0,6
7,R3,25,0,0,0,0,5
7,WHA,81,0,0,26,13,0
7,WHB,90,0,0,15,5,0
7,R1,21,0,0,7,7,0
7,R2,23,0,0,6,6,0
7,R3,25,0,0,5,5,0
8,Supplier,0,0,0,0,0,0
8,WHA,94,0,0,13,0,13
8,WHB,95,0,0,10,0,5
8,R1,21,0,0,0,0,7
8,R2,23,0,0,0,0,6
8,R3,25,0,0,0,0,5
8,WHA,81,0,0,26,13,0
8,WHB,90,0,0,15,5,0
8,R1,21,0,0,7,7,0
8,R2,23,0,0,6,6,0
8,R3,25,0,0,5,5,0
9,Supplier,0,0,0,0,0,0
9,WHA,94,0,0,13,0,13
9,WHB,95,0,0,10,0,5
9,R1,21,0,0,0,0,7
9,R2,23,0,0,0,0,6
9,R3,25,0,0,0,0,5
9,WHA,81,0,0,26,13,0
9,WHB,90,0,0,15,5,0
9,R1,21,0,0,7,7,0
9,R2,23,0,0,6,6,0
9,R3,25,0,0,5,5,0
10,Supplier,0,0,0,0,0,0
10,WHA,94,0,0,13,0,13
10,WHB,95,0,0,10,0,5
10,R1,21,0,0,0,0,7
10,R2,23,0,0,0,0,6
10,R3,25,0,0,0,0,5
10,WHA,81,0,0,26,13,0
10,WHB,90,0,0,15,5,0
10,R1,21,0,0,7,7,0
10,R2,23,0,0,6,6,0
10,R3,25,0,0,5,5,0
11,Supplier,0,0,0,0,0,0
11,WHA,94,0,0,13,0,13
11,WHB,95,0,0,10,0,5
11,R1,21,0,0,0,0,7
11,R2,23,0,0,0,0,6
11,R3,25,0,0,0,0,5
11,WHA,81,0,0,26,13,0
11,WHB,90,0,0,15,5,0
11,R1,21,0,0,7,7,0
11,R2,23,0,0,6,6,0
11,R3,25,0,0,5,5,0
12,Supplier,0,0,0,0,0,0
12,WHA,94,0,0,13,0,13
12,WHB,95,0,0,10,0,5
12,R1,21,0,0,0,0,7
12,R2,23,0,0,0,0,6
12,R3,25,0,0,0,0,5
12,WHA,81,0,0,26,13,0
12,WHB,90,0,0,15,5,0
12,R1,21,0,0,7,7,0
12,R2,23,0,0,6,6,0
12,R3,25,0,0,5,5,0
13,Supplier,0,0,0,0,0,0
13,WHA,94,0,0,13,0,13
13,WHB,95,0,0,10,0,5
13,R1,21,0,0,0,0,7
13,R2,23,0,0,0,0,6
13,R3,25,0,0,0,0,5
13,WHA,81,0,0,26,13,0
13,WHB,90,0,0,15,5,0
13,R1,21,0,0,7,7,0
13,R2,23,0,0,6,6,0
13,R3,25,0,0,5,5,0
14,Supplier,0,0,0,0,0,0
14,WHA,94,0,0,13,0,13
14,WHB,95,0,0,10,0,5
14,R1,21,0,0,0,0,7
14,R2,23,0,0,0,0,6
14,R3,25,0,0,0,0,5
14,WHA,81,0,0,26,13,0
14,WHB,90,0,0,15,5,0
14,R1,21,0,0,7,7,0
14,R2,23,0,0,6,6,0
14,R3,25,0,0,5,5,0
15,Supplier,0,0,0,0,0,0
15,WHA,94,0,0,13,0,13
15,WHB,95,0,0,10,0,5
15,R1,21,0,0,0,0,7
15,R2,23,0,0,0,0,6
15,R3,25,0,0,0,0,5
15,WHA,81,0,0,26,13,0
15,WHB,90,0,0,15,5,0
15,R1,21,0,0,7,7,0
15,R2,23,0,0,6,6,0
15,R3,25,0,0,5,5,0
16,Supplier,0,0,0,0,0,0
16,WHA,94,0,0,13,0,13
16,WHB,95,0,0,10,0,5
16,R1,21,0,0,0,0,7
