t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase
0,Supplier,0,0,0,0,0,0,after_arrivals
0,Warehouse,90,0,0,0,0,0,after_arrivals
0,R1,40,0,0,0,0,0,after_arrivals
0,R2,35,0,0,0,0,0,after_arrivals
0,R1,31,0,0,0,0,0,after_demand
0,R2,28,0,0,0,0,0,after_demand
0,Supplier,0,0,0,0,0,0,after_shipments
0,Warehouse,90,0,0,0,0,0,after_shipments
0,R1,31,0,0,0,0,0,after_shipments
0,R2,28,0,0,0,0,0,after_shipments
0,Warehouse,90,0,0,0,50,0,after_ordering
0,R1,31,0,0,0,39,0,after_ordering
0,R2,28,0,0,0,32,0,after_ordering
0,Supplier,0,0,0,0,0,0,EOD
0,Warehouse,90,0,0,0,50,0,EOD
0,R1,31,0,0,0,39,0,EOD
0,R2,28,0,0,0,32,0,EOD
1,Supplier,0,0,0,0,0,0,after_arrivals
1,Warehouse,90,0,0,0,0,0,after_arrivals
1,R1,31,0,0,0,0,0,after_arrivals
1,R2,28,0,0,0,0,0,after_arrivals
1,R1,22,0,0,0,0,0,after_demand
1,R2,21,0,0,0,0,0,after_demand
1,Supplier,0,0,0,0,0,0,after_shipments
1,Warehouse,19,0,0,50,0,0,after_shipments
1,R1,22,0,0,39,0,0,after_shipments
1,R2,21,0,0,32,0,0,after_shipments
1,Warehouse,19,0,0,50,71,0,after_ordering
1,R1,22,0,0,39,9,0,after_ordering
1,R2,21,0,0,32,7,0,after_ordering
1,Supplier,0,0,0,0,0,0,EOD
1,Warehouse,19,0,0,50,71,0,EOD
1,R1,22,0,0,39,9,0,EOD
1,R2,21,0,0,32,7,0,EOD
2,Supplier,0,0,0,0,0,0,after_arrivals
2,Warehouse,19,0,0,50,0,0,after_arrivals
2,R1,22,0,0,39,0,0,after_arrivals
2,R2,21,0,0,32,0,0,after_arrivals
2,R1,13,0,0,39,0,0,after_demand
2,R2,14,0,0,32,0,0,after_demand
2,Supplier,0,0,0,0,0,0,after_shipments
2,Warehouse,3,0,0,121,0,0,after_shipments
2,R1,13,0,0,48,0,0,after_shipments
2,R2,14,0,0,39,0,0,after_shipments
2,Warehouse,3,0,0,121,16,0,after_ordering
2,R1,13,0,0,48,9,0,after_ordering
2,R2,14,0,0,39,7,0,after_ordering
2,Supplier,0,0,0,0,0,0,EOD
2,Warehouse,3,0,0,121,16,0,EOD
2,R1,13,0,0,48,9,0,EOD
2,R2,14,0,0,39,7,0,EOD
3,Supplier,0,0,0,0,0,0,after_arrivals
3,Warehouse,53,0,0,71,0,50,after_arrivals
3,R1,22,0,0,39,0,9,after_arrivals
3,R2,46,0,0,7,0,32,after_arrivals
3,R1,13,0,0,39,0,0,after_demand
3,R2,39,0,0,7,0,0,after_demand
3,Supplier,0,0,0,0,0,0,after_shipments
3,Warehouse,37,0,0,87,0,0,after_shipments
3,R1,13,0,0,48,0,0,after_shipments
3,R2,39,0,0,14,0,0,after_shipments
3,Warehouse,37,0,0,87,16,0,after_ordering
3,R1,13,0,0,48,9,0,after_ordering
3,R2,39,0,0,14,7,0,after_ordering
3,Supplier,0,0,0,0,0,0,EOD
3,Warehouse,37,0,0,87,16,50,EOD
3,R1,13,0,0,48,9,9,EOD
3,R2,39,0,0,14,7,32,EOD
4,Supplier,0,0,0,0,0,0,after_arrivals
4,Warehouse,108,0,0,16,0,71,after_arrivals
4,R1,61,0,0,0,0,48,after_arrivals
4,R2,46,0,0,7,0,7,after_arrivals
4,R1,52,0,0,0,0,0,after_demand
4,R2,39,0,0,7,0,0,after_demand
4,Supplier,0,0,0,0,0,0,after_shipments
4,Warehouse,92,0,0,32,0,0,after_shipments
4,R1,52,0,0,9,0,0,after_shipments
4,R2,39,0,0,14,0,0,after_shipments
4,Warehouse,92,0,0,32,16,0,after_ordering
4,R1,52,0,0,9,9,0,after_ordering
4,R2,39,0,0,14,7,0,after_ordering
4,Supplier,0,0,0,0,0,0,EOD
4,Warehouse,92,0,0,32,16,71,EOD
4,R1,52,0,0,9,9,48,EOD
4,R2,39,0,0,14,7,7,EOD
5,Supplier,0,0,0,0,0,0,after_arrivals
5,Warehouse,108,0,0,16,0,16,after_arrivals
5,R1,52,0,0,9,0,0,after_arrivals
5,R2,46,0,0,7,0,7,after_arrivals
5,R1,43,0,0,9,0,0,after_demand
5,R2,39,0,0,7,0,0,after_demand
5,Supplier,0,0,0,0,0,0,after_shipments
5,Warehouse,92,0,0,32,0,0,after_shipments
5,R1,43,0,0,18,0,0,after_shipments
5,R2,39,0,0,14,0,0,after_shipments
5,Warehouse,92,0,0,32,16,0,after_ordering
5,R1,43,0,0,18,9,0,after_ordering
5,R2,39,0,0,14,7,0,after_ordering
5,Supplier,0,0,0,0,0,0,EOD
5,Warehouse,92,0,0,32,16,16,EOD
5,R1,43,0,0,18,9,0,EOD
5,R2,39,0,0,14,7,7,EOD
6,Supplier,0,0,0,0,0,0,after_arrivals
6,Warehouse,108,0,0,16,0,16,after_arrivals
6,R1,43,0,0,18,0,0,after_arrivals
6,R2,46,0,0,7,0,7,after_arrivals
6,R1,34,0,0,18,0,0,after_demand
6,R2,39,0,0,7,0,0,after_demand
6,Supplier,0,0,0,0,0,0,after_shipments
6,Warehouse,92,0,0,32,0,0,after_shipments
6,R1,34,0,0,27,0,0,after_shipments
6,R2,39,0,0,14,0,0,after_shipments
6,Warehouse,92,0,0,32,16,0,after_ordering
6,R1,34,0,0,27,9,0,after_ordering
6,R2,39,0,0,14,7,0,after_ordering
6,Supplier,0,0,0,0,0,0,EOD
6,Warehouse,92,0,0,32,16,16,EOD
6,R1,34,0,0,27,9,0,EOD
6,R2,39,0,0,14,7,7,EOD
7,Supplier,0,0,0,0,0,0,after_arrivals
7,Warehouse,108,0,0,16,0,16,after_arrivals
7,R1,52,0,0,9,0,18,after_arrivals
7,R2,46,0,0,7,0,7,after_arrivals
7,R1,43,0,0,9,0,0,after_demand
7,R2,39,0,0,7,0,0,after_demand
7,Supplier,0,0,0,0,0,0,after_shipments
7,Warehouse,92,0,0,32,0,0,after_shipments
7,R1,43,0,0,18,0,0,after_shipments
7,R2,39,0,0,14,0,0,after_shipments
7,Warehouse,92,0,0,32,16,0,after_ordering
7,R1,43,0,0,18,9,0,after_ordering
7,R2,39,0,0,14,7,0,after_ordering
7,Supplier,0,0,0,0,0,0,EOD
7,Warehouse,92,0,0,32,16,16,EOD
7,R1,43,0,0,18,9,18,EOD
7,R2,39,0,0,14,7,7,EOD
8,Supplier,0,0,0,0,0,0,after_arrivals
8,Warehouse,108,0,0,16,0,16,after_arrivals
8,R1,61,0,0,0,0,18,after_arrivals
8,R2,46,0,0,7,0,7,after_arrivals
8,R1,52,0,0,0,0,0,after_demand
8,R2,39,0,0,7,0,0,after_demand
8,Supplier,0,0,0,0,0,0,after_shipments
8,Warehouse,92,0,0,32,0,0,after_shipments
8,R1,52,0,0,9,0,0,after_shipments
8,R2,39,0,0,14,0,0,after_shipments
8,Warehouse,92,0,0,32,16,0,after_ordering
8,R1,52,0,0,9,9,0,after_ordering
8,R2,39,0,0,14,7,0,after_ordering
8,Supplier,0,0,0,0,0,0,EOD
8,Warehouse,92,0,0,32,16,16,EOD
8,R1,52,0,0,9,9,18,EOD
8,R2,39,0,0,14,7,7,EOD
9,Supplier,0,0,0,0,0,0,after_arrivals
9,Warehouse,108,0,0,16,0,16,after_arrivals
9,R1,61,0,0,0,0,9,after_arrivals
9,R2,46,0,0,7,0,7,after_arrivals
9,R1,52,0,0,0,0,0,after_demand
9,R2,39,0,0,7,0,0,after_demand
9,Supplier,0,0,0,0,0,0,after_shipments
9,Warehouse,92,0,0,32,0,0,after_shipments
9,R1,52,0,0,9,0,0,after_shipments
9,R2,39,0,0,14,0,0,after_shipments
9,Warehouse,92,0,0,32,16,0,after_ordering
9,R1,52,0,0,9,9,0,after_ordering
9,R2,39,0,0,14,7,0,after_ordering
9,Supplier,0,0,0,0,0,0,EOD
9,Warehouse,92,0,0,32,16,16,EOD
9,R1,52,0,0,9,9,9,EOD
9,R2,39,0,0,14,7,7,EOD
10,Supplier,0,0,0,0,0,0,after_arrivals
10,Warehouse,108,0,0,16,0,16,after_arrivals
10,R1,61,0,0,0,0,9,after_arrivals
10,R2,46,0,0,7,0,7,after_arrivals
10,R1,52,0,0,0,0,0,after_demand
10,R2,39,0,0,7,0,0,after_demand
10,Supplier,0,0,0,0,0,0,after_shipments
10,Warehouse,92,0,0,32,0,0,after_shipments
10,R1,52,0,0,9,0,0,after_shipments
10,R2,39,0,0,14,0,0,after_shipments
10,Warehouse,92,0,0,32,16,0,after_ordering
10,R1,52,0,0,9,9,0,after_ordering
10,R2,39,0,0,14,7,0,after_ordering
10,Supplier,0,0,0,0,0,0,EOD
10,Warehouse,92,0,0,32,16,16,EOD
10,R1,52,0,0,9,9,9,EOD
10,R2,39,0,0,14,7,7,EOD
11,Supplier,0,0,0,0,0,0,after_arrivals
11,Warehouse,108,0,0,16,0,16,after_arrivals
11,R1,61,0,0,0,0,9,after_arrivals
11,R2,46,0,0,7,0,7,after_arrivals
11,R1,52,0,0,0,0,0,after_demand
11,R2,39,0,0,7,0,0,after_demand
11,Supplier,0,0,0,0,0,0,after_shipments
11,Warehouse,92,0,0,32,0,0,after_shipments
11,R1,52,0,0,9,0,0,after_shipments
11,R2,39,0,0,14,0,0,after_shipments
11,Warehouse,92,0,0,32,16,0,after_ordering
11,R1,52,0,0,9,9,0,after_ordering
11,R2,39,0,0,14,7,0,after_ordering
11,Supplier,0,0,0,0,0,0,EOD
11,Warehouse,92,0,0,32,16,16,EOD
11,R1,52,0,0,9,9,9,EOD
11,R2,39,0,0,14,7,7,EOD
12,Supplier,0,0,0,0,0,0,after_arrivals
12,Warehouse,108,0,0,16,0,16,after_arrivals
12,R1,61,0,0,0,0,9,after_arrivals
12,R2,46,0,0,7,0,7,after_arrivals
12,R1,52,0,0,0,0,0,after_demand
12,R2,39,0,0,7,0,0,after_demand
12,Supplier,0,0,0,0,0,0,after_shipments
12,Warehouse,92,0,0,32,0,0,after_shipments
12,R1,52,0,0,9,0,0,after_shipments
12,R2,39,0,0,14,0,0,after_shipments
12,Warehouse,92,0,0,32,16,0,after_ordering
12,R1,52,0,0,9,9,0,after_ordering
12,R2,39,0,0,14,7,0,after_ordering
12,Supplier,0,0,0,0,0,0,EOD
12,Warehouse,92,0,0,32,16,16,EOD
12,R1,52,0,0,9,9,9,EOD
12,R2,39,0,0,14,7,7,EOD
13,Supplier,0,0,0,0,0,0,after_arrivals
13,Warehouse,108,0,0,16,0,16,after_arrivals
13,R1,61,0,0,0,0,9,after_arrivals
13,R2,46,0,0,7,0,7,after_arrivals
13,R1,52,0,0,0,0,0,after_demand
13,R2,39,0,0,7,0,0,after_demand
13,Supplier,0,0,0,0,0,0,after_shipments
13,Warehouse,92,0,0,32,0,0,after_shipments
13,R1,52,0,0,9,0,0,after_shipments
13,R2,39,0,0,14,0,0,after_shipments
13,Warehouse,92,0,0,32,16,0,after_ordering
13,R1,52,0,0,9,9,0,after_ordering
13,R2,39,0,0,14,7,0,after_ordering
13,Supplier,0,0,0,0,0,0,EOD
13,Warehouse,92,0,0,32,16,16,EOD
13,R1,52,0,0,9,9,9,EOD
13,R2,39,0,0,14,7,7,EOD
14,Supplier,0,0,0,0,0,0,after_arrivals
14,Warehouse,108,0,0,16,0,16,after_arrivals
14,R1,61,0,0,0,0,9,after_arrivals
14,R2,46,0,0,7,0,7,after_arrivals
14,R1,52,0,0,0,0,0,after_demand
14,R2,39,0,0,7,0,0,after_demand
14,Supplier,0,0,0,0,0,0,after_shipments
14,Warehouse,92,0,0,32,0,0,after_shipments
14,R1,52,0,0,9,0,0,after_shipments
14,R2,39,0,0,14,0,0,after_shipments
14,Warehouse,92,0,0,32,16,0,after_ordering
14,R1,52,0,0,9,9,0,after_ordering
14,R2,39,0,0,14,7,0,after_ordering
14,Supplier,0,0,0,0,0,0,EOD
14,Warehouse,92,0,0,32,16,16,EOD
14,R1,52,0,0,9,9,9,EOD
14,R2,39,0,0,14,7,7,EOD
15,Supplier,0,0,0,0,0,0,after_arrivals
15,Warehouse,108,0,0,16,0,16,after_arrivals
15,R1,61,0,0,0,0,9,after_arrivals
15,R2,46,0,0,7,0,7,after_arrivals
15,R1,52,0,0,0,0,0,after_demand
15,R2,39,0,0,7,0,0,after_demand
15,Supplier,0,0,0,0,0,0,after_shipments
15,Warehouse,92,0,0,32,0,0,after_shipments
15,R1,52,0,0,9,0,0,after_shipments
15,R2,39,0,0,14,0,0,after_shipments
15,Warehouse,92,0,0,32,16,0,after_ordering
15,R1,52,0,0,9,9,0,after_ordering
15,R2,39,0,0,14,7,0,after_ordering
15,Supplier,0,0,0,0,0,0,EOD
15,Warehouse,92,0,0,32,16,16,EOD
15,R1,52,0,0,9,9,9,EOD
15,R2,39,0,0,14,7,7,EOD
16,Supplier,0,0,0,0,0,0,after_arrivals
16,Warehouse,108,0,0,16,0,16,after_arrivals
16,R1,61,0,0,0,0,9,after_arrivals
16,R2,46,0,0,7,0,7,after_arrivals
16,R1,52,0,0,0,0,0,after_demand
16,R2,39,0,0,7,0,0,after_demand
16,Supplier,0,0,0,0,0,0,after_shipments
16,Warehouse,92,0,0,32,0,0,after_shipments
16,R1,52,0,0,9,0,0,after_shipments
16,R2,39,0,0,14,0,0,after_shipments
16,Warehouse,92,0,0,32,16,0,after_ordering
16,R1,52,0,0,9,9,0,after_ordering
16,R2,39,0,0,14,7,0,after_ordering
16,Supplier,0,0,0,0,0,0,EOD
16,Warehouse,92,0,0,32,16,16,EOD
16,R1,52,0,0,9,9,9,EOD
16,R2,39,0,0,14,7,7,EOD
17,Supplier,0,0,0,0,0,0,after_arrivals
17,Warehouse,108,0,0,16,0,16,after_arrivals
17,R1,61,0,0,0,0,9,after_arrivals
17,R2,46,0,0,7,0,7,after_arrivals
17,R1,52,0,0,0,0,0,after_demand
17,R2,39,0,0,7,0,0,after_demand
17,Supplier,0,0,0,0,0,0,after_shipments
17,Warehouse,92,0,0,32,0,0,after_shipments
17,R1,52,0,0,9,0,0,after_shipments
17,R2,39,0,0,14,0,0,after_shipments
17,Warehouse,92,0,0,32,16,0,after_ordering
17,R1,52,0,0,9,9,0,after_ordering
17,R2,39,0,0,14,7,0,after_ordering
17,Supplier,0,0,0,0,0,0,EOD
17,Warehouse,92,0,0,32,16,16,EOD
17,R1,52,0,0,9,9,9,EOD
17,R2,39,0,0,14,7,7,EOD
18,Supplier,0,0,0,0,0,0,after_arrivals
18,Warehouse,108,0,0,16,0,16,after_arrivals
18,R1,52,0,0,9,0,0,after_arrivals
18,R2,46,0,0,7,0,7,after_arrivals
18,R1,43,0,0,9,0,0,after_demand
18,R2,39,0,0,7,0,0,after_demand
18,Supplier,0,0,0,0,0,0,after_shipments
18,Warehouse,92,0,0,32,0,0,after_shipments
18,R1,43,0,0,18,0,0,after_shipments
18,R2,39,0,0,14,0,0,after_shipments
18,Warehouse,92,0,0,32,16,0,after_ordering
18,R1,43,0,0,18,9,0,after_ordering
18,R2,39,0,0,14,7,0,after_ordering
18,Supplier,0,0,0,0,0,0,EOD
18,Warehouse,92,0,0,32,16,16,EOD
18,R1,43,0,0,18,9,0,EOD
