t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase
0,Supplier,0,0,0,0,0,0,EOD
0,Warehouse,180,0,0,0,80,0,EOD
0,R1,49,0,0,0,71,0,EOD
0,R2,56,0,0,0,54,0,EOD
1,Supplier,0,0,0,0,0,0,EOD
1,Warehouse,55,0,0,80,125,0,EOD
1,R1,24,0,0,71,25,0,EOD
1,R2,54,0,0,54,2,0,EOD
2,Supplier,0,0,0,0,0,0,EOD
2,Warehouse,28,0,0,205,27,0,EOD
2,R1,71,0,0,25,24,71,EOD
2,R2,39,0,0,56,15,0,EOD
3,Supplier,0,0,0,0,0,0,EOD
3,Warehouse,69,0,0,152,39,80,EOD
3,R1,68,0,0,24,28,25,EOD
3,R2,78,0,0,17,15,54,EOD
4,Supplier,0,0,0,0,0,0,EOD
4,Warehouse,151,0,0,66,43,125,EOD
4,R1,70,0,0,28,22,24,EOD
4,R2,62,0,0,30,18,2,EOD
5,Supplier,0,0,0,0,0,0,EOD
5,Warehouse,138,0,0,82,40,27,EOD
5,R1,67,0,0,22,31,28,EOD
5,R2,60,0,0,33,17,15,EOD
6,Supplier,0,0,0,0,0,0,EOD
6,Warehouse,129,0,0,83,48,39,EOD
6,R1,65,0,0,31,24,22,EOD
6,R2,44,0,0,35,31,15,EOD
7,Supplier,0,0,0,0,0,0,EOD
7,Warehouse,117,0,0,88,55,43,EOD
7,R1,77,0,0,24,19,31,EOD
7,R2,38,0,0,48,24,18,EOD
8,Supplier,0,0,0,0,0,0,EOD
8,Warehouse,114,0,0,103,43,40,EOD
8,R1,80,0,0,19,21,24,EOD
8,R2,40,0,0,55,15,17,EOD
9,Supplier,0,0,0,0,0,0,EOD
9,Warehouse,126,0,0,98,36,48,EOD
9,R1,81,0,0,21,18,19,EOD
9,R2,56,0,0,39,15,31,EOD
10,Supplier,0,0,0,0,0,0,EOD
10,Warehouse,148,0,0,79,33,55,EOD
10,R1,49,0,0,39,32,0,EOD
10,R2,55,0,0,30,25,24,EOD
11,Supplier,0,0,0,0,0,0,EOD
11,Warehouse,134,0,0,69,57,43,EOD
11,R1,38,0,0,53,29,18,EOD
11,R2,54,0,0,40,16,15,EOD
12,Supplier,0,0,0,0,0,0,EOD
12,Warehouse,125,0,0,90,45,36,EOD
12,R1,68,0,0,29,23,53,EOD
12,R2,38,0,0,41,31,15,EOD
13,Supplier,0,0,0,0,0,0,EOD
13,Warehouse,104,0,0,102,54,33,EOD
13,R1,83,0,0,23,14,29,EOD
13,R2,26,0,0,47,37,25,EOD
14,Supplier,0,0,0,0,0,0,EOD
14,Warehouse,110,0,0,99,51,57,EOD
14,R1,40,0,0,14,66,23,EOD
14,R2,36,0,0,68,6,16,EOD
15,Supplier,0,0,0,0,0,0,EOD
15,Warehouse,83,0,0,105,72,45,EOD
15,R1,33,0,0,80,7,0,EOD
15,R2,50,0,0,43,17,31,EOD
16,Supplier,0,0,0,0,0,0,EOD
16,Warehouse,113,0,0,123,24,54,EOD
16,R1,99,0,0,21,0,66,EOD
16,R2,73,0,0,23,14,37,EOD
17,Supplier,0,0,0,0,0,0,EOD
17,Warehouse,150,0,0,96,14,51,EOD
17,R1,110,0,0,0,10,21,EOD
17,R2,71,0,0,31,8,6,EOD
18,Supplier,0,0,0,0,0,0,EOD
18,Warehouse,204,0,0,38,18,72,EOD
18,R1,85,0,0,10,25,0,EOD
18,R2,72,0,0,22,16,17,EOD
19,Supplier,0,0,0,0,0,0,EOD
19,Warehouse,187,0,0,32,41,24,EOD
19,R1,61,0,0,35,24,0,EOD
19,R2,68,0,0,24,18,14,EOD
20,Supplier,0,0,0,0,0,0,EOD
20,Warehouse,159,0,0,59,42,14,EOD
20,R1,50,0,0,34,36,25,EOD
20,R2,37,0,0,34,39,8,EOD
