t_ship,parent,child,lead_time,qty
1,Supplier,Warehouse,2,50
1,Warehouse,R1,1,39
1,Warehouse,R2,2,32
2,Supplier,Warehouse,2,71
2,Warehouse,R1,3,9
2,Warehouse,R2,2,7
3,Supplier,Warehouse,2,16
3,Warehouse,R1,1,9
3,Warehouse,R2,2,7
4,Supplier,Warehouse,2,16
4,Warehouse,R1,1,9
4,Warehouse,R2,2,7
5,Supplier,Warehouse,2,16
5,Warehouse,R1,1,9
5,Warehouse,R2,2,7
6,Supplier,Warehouse,2,16
6,Warehouse,R1,1,9
6,Warehouse,R2,2,7
7,Supplier,Warehouse,2,16
7,Warehouse,R1,1,9
7,Warehouse,R2,2,7
8,Supplier,Warehouse,2,16
8,Warehouse,R1,1,9
8,Warehouse,R2,2,7
9,Supplier,Warehouse,2,16
9,Warehouse,R1,1,9
9,Warehouse,R2,2,7
10,Supplier,Warehouse,2,16
10,Warehouse,R1,1,9
10,Warehouse,R2,2,7
11,Supplier,Warehouse,2,16
11,Warehouse,R1,1,9
11,Warehouse,R2,2,7
12,Supplier,Warehouse,2,16
12,Warehouse,R1,1,9
12,Warehouse,R2,2,7
13,Supplier,Warehouse,2,16
13,Warehouse,R1,1,9
13,Warehouse,R2,2,7
14,Supplier,Warehouse,2,16
14,Warehouse,R1,3,9
14,Warehouse,R2,2,7
15,Supplier,Warehouse,2,16
15,Warehouse,R1,1,9
15,Warehouse,R2,2,7
16,Supplier,Warehouse,2,16
16,Warehouse,R1,1,9
16,Warehouse,R2,2,7
17,Supplier,Warehouse,2,16
17,Warehouse,R1,1,9
17,Warehouse,R2,2,7
18,Supplier,Warehouse,2,16
18,Warehouse,R1,1,9
18,Warehouse,R2,2,7
19,Supplier,Warehouse,2,16
19,Warehouse,R1,1,9
19,Warehouse,R2,2,7
20,Supplier,Warehouse,2,16
20,Warehouse,R1,1,9
20,Warehouse,R2,2,7
21,Supplier,Warehouse,2,16
21,Warehouse,R1,1,9
21,Warehouse,R2,2,7
22,Supplier,Warehouse,2,16
22,Warehouse,R1,1,9
22,Warehouse,R2,2,7
23,Supplier,Warehouse,2,16
23,Warehouse,R1,1,9
23,Warehouse,R2,2,7
24,Supplier,Warehouse,2,16
24,Warehouse,R1,3,9
24,Warehouse,R2,2,7
25,Supplier,Warehouse,2,16
25,Warehouse,R1,3,9
25,Warehouse,R2,2,7
26,Supplier,Warehouse,2,16
26,Warehouse,R1,1,9
26,Warehouse,R2,2,7
27,Supplier,Warehouse,2,16
27,Warehouse,R1,3,9
27,Warehouse,R2,2,7
28,Supplier,Warehouse,2,16
28,Warehouse,R1,1,9
28,Warehouse,R2,2,7
29,Supplier,Warehouse,2,16
29,Warehouse,R1,3,9
29,Warehouse,R2,2,7
